Hora,Nome,ccu
20/04/2021 08:54,PLAYERUNKNOWN'S BATTLEGROUNDS,269877
20/04/2021 08:54,Apex Legends,142349
20/04/2021 08:54,Grand Theft Auto V,103638
20/04/2021 08:54,Team Fortress 2,93451
20/04/2021 08:54,Source SDK Base 2013 Multiplayer,88380
20/04/2021 08:54,Path of Exile,75917
20/04/2021 09:24,Counter-Strike: Global Offensive,868807
20/04/2021 09:24,Dota 2,482398
20/04/2021 09:24,PLAYERUNKNOWN'S BATTLEGROUNDS,308661
20/04/2021 09:24,Apex Legends,159837
20/04/2021 09:24,Grand Theft Auto V,109709
20/04/2021 09:24,Source SDK Base 2013 Multiplayer,95360
20/04/2021 09:24,Team Fortress 2,95085
20/04/2021 09:24,Path of Exile,78686
20/04/2021 09:54,Counter-Strike: Global Offensive,925484
20/04/2021 09:54,Dota 2,522262
20/04/2021 09:54,PLAYERUNKNOWN'S BATTLEGROUNDS,341345
20/04/2021 09:54,Apex Legends,177574
20/04/2021 09:54,Grand Theft Auto V,116885
20/04/2021 09:54,Source SDK Base 2013 Multiplayer,103057
20/04/2021 09:54,Team Fortress 2,98335
20/04/2021 09:54,Tom Clancy's Rainbow Six Siege,85148
20/04/2021 10:24,Counter-Strike: Global Offensive,969017
20/04/2021 10:24,Dota 2,537646
20/04/2021 10:24,PLAYERUNKNOWN'S BATTLEGROUNDS,364621
20/04/2021 10:24,Apex Legends,191856
20/04/2021 10:24,Grand Theft Auto V,123645
20/04/2021 10:24,Source SDK Base 2013 Multiplayer,99015
20/04/2021 10:24,Tom Clancy's Rainbow Six Siege,92867
20/04/2021 10:24,Team Fortress 2,92140
20/04/2021 10:54,Counter-Strike: Global Offensive,1007806
20/04/2021 10:54,Dota 2,576860
20/04/2021 10:54,PLAYERUNKNOWN'S BATTLEGROUNDS,372970
20/04/2021 10:54,Apex Legends,200901
20/04/2021 10:54,Grand Theft Auto V,128079
20/04/2021 10:54,Source SDK Base 2013 Multiplayer,110211
20/04/2021 10:54,Tom Clancy's Rainbow Six Siege,97897
20/04/2021 10:54,Team Fortress 2,95778
20/04/2021 11:24,Counter-Strike: Global Offensive,1006671
20/04/2021 11:24,Dota 2,597533
20/04/2021 11:24,PLAYERUNKNOWN'S BATTLEGROUNDS,365009
20/04/2021 11:24,Apex Legends,200916
20/04/2021 11:24,Grand Theft Auto V,128271
20/04/2021 11:24,Source SDK Base 2013 Multiplayer,118514
